City_ID,City,Country,Lat,Lng,Maximum Hemperature,Percent Humidity,Percent Cloudiness,Wind Speed,Weather description
131,Manono,CD,-7.3,27.42,75.13,31,93,11.68,overcast clouds
132,Finschhafen,PG,-6.6,147.87,82.85,65,6,9.37,clear sky
133,Malpe,IN,13.35,74.72,80.6,88,90,13.87,light rain
134,Zhanaozen,KZ,43.3,52.8,87.84,27,38,9.62,scattered clouds
135,Adrar,MR,20.5,-10.07,92.1,30,0,12.19,clear sky
136,Kuttigen,CH,47.42,8.05,64.0,98,99,2.04,overcast clouds
137,Altensteig,DE,48.58,8.6,64.0,98,71,1.72,broken clouds
138,Ust-Kuyga,RU,70.02,135.6,56.17,56,96,10.42,overcast clouds
139,Tougan,BF,13.07,-3.07,74.46,89,100,5.14,moderate rain
140,Harindanga,IN,22.04,88.32,96.8,75,75,4.7,haze
141,Arraial Do Cabo,BR,-22.97,-42.03,67.26,66,0,5.1,clear sky
142,Terra Santa,BR,-2.1,-56.49,74.19,64,34,2.08,scattered clouds
143,Hilo,US,19.73,-155.09,80.6,57,1,3.36,clear sky
144,Iquique,CL,-20.22,-70.14,60.8,67,90,3.36,overcast clouds
145,Paracuru,BR,-3.41,-39.03,78.01,74,11,5.01,light rain
146,Half Moon Bay,US,37.46,-122.43,66.99,87,1,7.96,clear sky
147,Port Lincoln,AU,-34.73,135.87,56.41,62,62,9.31,broken clouds
148,Maputo,MZ,-25.97,32.59,62.01,80,1,4.0,clear sky
149,Lorengau,PG,-2.02,147.27,83.84,77,57,11.72,light rain
150,Villa Guerrero,MX,18.87,-99.65,66.99,87,90,3.36,light rain
151,Kapaa,US,22.08,-159.32,80.6,74,40,16.11,scattered clouds
152,Shieli,KZ,44.17,66.75,93.42,18,0,17.36,clear sky
153,Kavieng,PG,-2.57,150.8,84.78,73,71,8.59,broken clouds
154,Myingyan,MM,21.47,95.38,78.8,100,90,3.36,overcast clouds
155,Lesosibirsk,RU,58.24,92.48,81.32,35,11,7.05,few clouds
156,Hasaki,JP,35.73,140.83,97.0,70,20,11.41,few clouds
157,Trincomalee,LK,8.57,81.23,88.45,60,100,18.95,overcast clouds
158,La Libertad,EC,-2.23,-80.9,66.94,89,58,12.35,broken clouds
159,Nanortalik,GL,60.14,-45.24,45.91,93,84,7.65,broken clouds
160,Cherskiy,RU,68.75,161.3,52.39,85,99,6.49,light rain
161,Nador,MA,35.17,-2.93,82.4,39,0,18.34,clear sky
162,Narasaraopet,IN,16.25,80.07,82.87,66,100,14.92,overcast clouds
163,Bosobolo,CD,4.18,19.9,72.09,91,91,0.72,overcast clouds
164,Snezhnogorsk,RU,69.19,33.25,48.2,100,75,4.47,light intensity shower rain
165,Eldorado,BR,-23.79,-54.28,59.4,70,6,4.99,clear sky
166,Las Varas,MX,21.17,-105.17,84.2,74,90,3.36,overcast clouds
167,Pensilvania,US,40.27,-76.91,78.8,61,1,3.36,clear sky
168,Alvaraes,BR,-3.22,-64.8,73.94,66,23,0.83,few clouds
169,Nizhnyaya Tavda,RU,57.67,66.17,81.25,53,60,7.27,broken clouds
170,Lompoc,US,34.64,-120.46,57.2,87,90,6.93,overcast clouds
171,Pershotravneve,UA,51.39,28.87,64.26,71,4,4.47,clear sky
172,Levelland,US,33.59,-102.38,71.6,68,90,40.26,thunderstorm
173,Deputatskiy,RU,69.3,139.9,56.41,58,64,8.81,broken clouds
174,Egvekinot,RU,66.32,-179.17,48.02,64,82,1.41,broken clouds
175,Iqaluit,CA,63.75,-68.51,53.6,76,75,11.41,broken clouds
176,Chokurdakh,RU,70.63,147.92,51.84,57,100,5.26,overcast clouds
177,Nautla,MX,20.22,-96.78,77.41,80,54,5.17,broken clouds
178,Primo Tapia,MX,32.22,-116.92,66.99,88,75,3.36,broken clouds
179,Coquimbo,CL,-29.95,-71.34,51.8,100,0,6.93,clear sky
180,Tuy Hoa,VN,13.08,109.3,93.38,52,46,8.19,scattered clouds
181,Randolph,US,35.7,-79.82,78.8,83,1,5.82,clear sky
182,Vardo,NO,70.37,31.11,51.8,81,75,9.17,broken clouds
183,Nipawin,CA,53.37,-104.0,59.0,100,1,5.82,clear sky
